#,money idiom,meaning,polish idiom
1,not break the bank,nie rozbijac banku,nie zbiedniec od czegos
2,chicken feed,mala suma ,psie pienadze
3,cost a pretty penny,cos jest bardzo drogie,-
4,money laundering,pranie brudnych pieniedzy,-
5,be a lame duck,bankrut (o firmie),ofiara losu
6,cash cow,doskonale zrodlo dochodow,kura znoszaca zlote jajka
7,the bread and butter,srodki utrzymania,miec na chleb
8,nest egg,oszczednosci,-
9,be in the red,deficyt na koncie bankowym,pod kreska (mniej niz zero:)
10,be sold a pup,dac sie wykiwac,dac sie sfrajerowac
11,tighten one's belt,wydawac mniej pieniedzy,zacisnac pasa
12,hit the jackpot,wygrac na loterii,wygrac glowna nagrode
13,take the bread out if somebody's mouth,odebrac komus srodki do zycia,-
14,monkey business,podejrzane interesy,-
15,buy a pig in a poke,nie sprawdzic tego co kupujesz,kupowac kota w worku
16,on a shoestring,za niewielkie pieniadze,zyc na chlebie i wodzie
17,have deep pockets,ktos bardzo bogaty,ma wypchane kieszenie
18,money doesn't grow on trees,pieniadze nie rosna na drzewach,pieniadze nie leza na ulicy
19,suit every pocket,kazdego stac,na kazda kieszen
20,save for a rainy day,oszczedzac na deszczowe dni,oszczedzac na czarna godzine
21,to put in one's two cents,wyrazic swoja opinie,dorzuic swoje trzy grosze
22,to be a dime a dozen,powrzechne i malo wartosciowe,warte funta klakow
23,a five and dime,sklep z tanimi drobiazgami,sklep - wszystko po piec zloty
24,big bucks,duza suma pieniedzy,duza kasa
25,to make a quick buck,zarobic pieniadze szybko i latwo,szybka kasa
26,a penny pincher,osoba która niechce wydawac pieniedzy,skapiec / dusigrosz
27,to be worth every penny,byc wartym kazdego grosza,byc wartym kazdych pieniedzy
28,the other side of the coin,inny sposób postrzegania sytuacji,druga strona medalu
29,to flip a coin,dokonac wyboru pomiedzy dwoma opcjami,rzucic moneta
30,penny,jednocentowka,-
31,nickel,pieciocentowka,-
32,dime,dziesieciocentowka,-
33,quarter,dwudziestopieciocentowka,-
34,buck,jeden dolar,-
35,living on the breadline,zyjacy na poziomie minimum socjalnego,zyc ubogo
36,enough to get by on,miec dokladnie na przezycie,od pierwszego do pierwszego
37,not very well of,finansowo nie za dobrze,-
38,without a penny to his name,nie miec pieniedzy,bez grosza przy duszy
39,my account is in the black,dobry stan konta,-
40,a bit hard up,chwilowy slaby stan finansow,splukany
41,can not make ends meet,nie miec na podstawe rzeczy,nie wiazac konca z koncem
42,living from hand to mouth,miec dokladnie na przezycie i nic wiecej,zyc z dnia na dzien
43,pick up bargains,skorzystac z okazji,promocje
44,cost a bit over the top,kosztuje troche za duzo,-
45,dirt cheap,bardzo tanie,-
46,set you back a bit,naruszenie stabilnosci finansowej,-
47,pay through the nose,zaplacic wiecej niz uczciwa cena,-
48,cost an arm and a leg,ekstremalnie drogie,krocie / krwawica
49,be ripped of,zostac oszukanym,zdzierac / zedrzec
50,knock money off an item,zredukowac cene,rabat / obnizka
51,go halves,podzielic koszty na dwie rowne czesci,pol na pol
52,spending spree,szalenstwo zakupowe,szastac
53,break even,rowne koszty i zyski,byc na zero
54,splash out,roztrwonic pieniadze,sypnac kasa
55,put aside on holiday,odkladac na wakacje,wlozyc do skarpety
56,rolling in it,bogaty,spac na pieniadzach
57,stinking rich,bogaty,obrzydliwie bogaty
58,got money to burn,bogaty,palic pieniedzmi w piecu
59,worth a fortune,bogaty,warty fortune
60,could buy and sell you,bogaty,moze nas kupic
61,makes a good living,bogaty,dobrze zarabia
62,lives in the lap of luxury,bogaty,zyje w luksusie
63,very comfortable,bogaty,komfortowy
64,loaded,bogaty,nadziany
65,not short of a bob or two,bogaty,nic mu nie brakuje
66,have a deep pockets,duze zasoby finansowe,-